English	Spanish
Tom stopped digging.	Tom dejó de cavar.
Let me handle this.	Déjamelo a mí.
Have some.	Coge alguno.
She is my dream girl.	Ella es mi mujer ideal.
Unfavorable circumstances prevented me from traveling.	Circunstancias desfavorables me impidieron viajar.
I miss my mom.	Yo extraño a mi mamá.
Where is the telephone book?	¿Dónde está el directorio?
Several students were absent from school because of colds.	Varios estudiantes faltaron al colegio debido a resfriados.
I'm sorry, but I don't have change.	Lo siento, pero no tengo cambio.
Tom can't get his ring off his finger.	Tom no se puede quitar su anillo del dedo.
I dropped out of high school when I was sixteen.	Abandoné la escuela secundaria a los dieciséis.
Tom has to have an operation on his back.	Tomás se tiene que operar la columna.
I'm looking for an apartment to rent.	Estoy buscando un departamento para arrendar.
What happened? There's water all over the apartment.	¿Qué ha pasado? Hay agua por todo el apartamento.
He was standing behind the door.	Estaba parado detrás de la puerta.
Daddy, let's have a staring contest.	¡Papá, juega conmigo a las miradas!
The police are questioning witnesses.	La policía está interrogando a los testigos.
Many tourists come to this island every year.	Muchos turistas visitan esta isla cada año.
I grew up near a river.	Yo crecí cerca de un río.
Give me my bag.	Dame mi cartera.
Tom did time for burglary.	Tom cumplió condena por robo.
I didn't want to annoy you.	No quería molestarte.
Thanks a lot.	Muy agradecido.
I owe you nothing.	No te debo nada.
I have just washed all the dishes.	Acabo de terminar de lavar todos los platos.
She likes short skirts.	A ella le gustan las faldas cortas.
I gave him a warning, to which he paid no attention.	Le di una advertencia, a la que no prestó atención.
We reached our goal.	Alcanzamos nuestra meta.
I doubt that Tom is happy with his new job.	Dudo que Tom sea feliz con su nuevo empleo.
We must make a new start.	Debemos recomenzar.
I was amazed that she had drunk all of the wine.	Estaba sorprendido de que ella se hubiera tomado todo el vino.
I don't care how much it costs. I'm going to buy it anyway.	No me interesa cuanto cueste. Me lo voy a comprar de todas formas.
Eat everything.	Cómete todo.
She understands you now.	Ella te entiende ahora.
He can stay here for one night, no longer.	Él se puede quedar aquí por una noche, no más.
Did you find your keys?	¿Encontraste tus llaves?
He can speak English and French.	Él sabe hablar inglés y francés.
Come with us.	Véngase.
Can I do something to help you?	¿Puedo ayudarte en algo?
I'm looking for someone.	Estoy buscando a alguien.
I can't tell you how happy I am that you've come to visit us.	No tengo palabras para decirte cuan feliz estoy de que hayas venido a vernos.
She was educated in the United States.	Ella se educó en los Estados Unidos.
I don't have a favorite.	No tengo un favorito.
What doesn't kill us makes us stronger.	Lo que no nos mata nos hace más fuertes.
Just please be quiet.	Por favor, cállate.
They're old.	Son mayores.
He is making great progress in English.	Él está logrando grandes avances en inglés.
Leave the books as they are.	Deja los libros tal como están.
Tom is a friend of a friend.	Tom es el amigo de un amigo.
Who's your teacher?	¿Quién es tu profesor?
The story about the girl was in the news.	La historia sobre la chica salió en las noticias.
I sensed immediately that something was wrong.	Sentí de inmediato que algo estaba mal.
She is very thoughtful and patient.	Ella es muy considerada y paciente.
Would this be acceptable to you?	¿Sería esto aceptable para ti?
I'd like to play a game of golf.	Quisiera jugar una ronda de golf.
Let me have a little chat with Tom.	Déjame que charle un momento con Tom.
He can't have said such a stupid thing.	No puede haber dicho tamaña estupidez.
This is a problem for young people to solve.	Este es un problema que debe ser solucionado por la gente joven.
He asked for my permission to use the phone.	Él me pidió permiso para utilizar el teléfono.
She went about the household chores.	Ella se dedicó a las tareas del hogar.
Mt. Everest is the highest peak in the world.	El Monte Everest es el pico más alto del mundo.
This music is terrible.	Esta música es pésima.
What on earth is happening?	¿Qué diablos está pasando?
I lost the watch that my father gave me.	Perdí el reloj que me regaló mi padre.
Tom realized he was trapped.	Tom se dio cuenta de que estaba atrapado.
It's not that cold.	No hace tanto frío.
You must have me confused with someone else.	Debes haberme confundido con alguien más.
I asked him why he was sad.	Le pregunté por qué estaba triste.
He was at home.	Él estaba en casa.
Did you do it?	¿Lo hicieron ustedes?
Tom is obstinate, isn't he?	Tom es obstinado, ¿no?
I don't have anyone who'd travel with me.	No tengo a nadie que viaje conmigo.
I'm not sure I want to do this.	No estoy seguro de querer hacerlo.
I'm stuck in a rut.	Estoy atrapado en un lío.
Tom doesn't know how to have fun.	Tom no sabe divertirse.
He tries to improve his English.	Él trata de mejorar su inglés.
He ran out of money.	Él se quedó sin dinero.
I was born in Tokyo.	Nací en Tokio.
I want a computer.	Quiero un ordenador.
Tom doesn't want to see anyone.	Tom no quiere ver a nadie.
Both of us began to smile almost at the same time.	Los dos sonreímos casi al mismo tiempo.
I should go home and get some sleep.	Debería ir a casa y dormir un poco.
I am gardening these days just to kill time.	Estoy cuidando el jardín estos días sólo para matar el tiempo.
I don't think your name's Tom.	No creo que tu nombre sea Tom.
What a disaster!	¡Qué catástrofe!
Tom looked surprised.	Tomás parecía sorprendido.
I assume you'll be paying me in cash.	Asumo que me pagará en efectivo.
We can't open this envelope until Tom gets here.	No podemos abrir este sobre hasta que llegue Tom.
Mary has an hourglass figure.	Mary tiene forma de reloj de arena.
Keep off the grass.	No pise el pasto.
I am painting my garage.	Estoy pintando mi cochera.
I won't stand for it anymore.	No voy a tolerarlo más.
She has a rose in her hand.	Ella tiene una rosa en la mano.
Did you hear that sound?	¿Has oído ese sonido?
He believed in the truth.	Él creía en la verdad.
I'm not a soldier.	No soy un soldado.
Has Tom told Mary that he can't speak French at all?	¿Le ha dicho Tom a Mary que no puede hablar francés para nada?
Listen carefully and do exactly what I tell you.	Escúchame atentamente y haz exactamente lo que te diga.
That's debatable.	Eso es discutible.
The train was so crowded that I had to keep standing all the way.	El tren estaba tan lleno que tuve que quedarme de pie durante todo el trayecto.
No one's going to stop me.	Nadie va a detenerme.
I'm getting married next month.	Me caso el mes que viene.
Would you be so kind as to open the door for me?	¿Sería usted tan amable de abrirme la puerta?
They left without me.	Se fueron sin mí.
Have a good time.	Pásenla bien.
Portugal has decriminalized the personal possession of drugs.	Portugal ha despenalizado la posesión personal de drogas.
People living in town don't know the pleasures of country life.	La gente que vive en la ciudad no conoce los placeres de la vida en el campo.
They tried everything.	Ellos intentaron todo.
Cats usually hate dogs.	Normalmente, los gatos odian a los perros.
I'll buy what I need tomorrow.	Mañana compraré lo que necesito.
I am sorry to have kept you waiting so long.	Lamento haberte hecho esperar tanto.
Tom signed an NDA.	Tom firmó un acuerdo de confidencialidad.
I have no time to help you with the work.	No tengo tiempo para ayudarte con el trabajo.
I'm not old enough to get a driver's license.	No tengo la edad suficiente para conseguir una licencia de conducir.
Did you just call me an old grouch?	¿Me acabas de llamar viejo cascarrabias?
The money was divided among the three.	El dinero fue repartido entre los tres.
My friend is studying Korean.	Mi amiga estudia coreano.
Who made the doll?	¿Quién hizo la muñeca?
This pan has several uses.	Este sartén tiene muchos usos.
There was a stack of newspapers in the corner of the room.	Había una pila de periódicos en la esquina de la pieza.
Tell us more.	Cuéntennos más.
Tom has known Mary since she was a little girl.	Tom conoce a Mary desde que era una niña pequeña.
She was too proud to ask him for help.	Ella era demasiado orgullosa para pedir su ayuda.
I don't approve of his decision.	No apruebo su decisión.
I want to do some shopping around here.	Quiero comprar un par de cosas por aquí.
Leave tomorrow.	Sal mañana.
Tom can be trusted.	Se puede confiar en Tom.
It was getting louder and louder.	Se estaba volviendo más y más escandaloso.
You're just a kid.	Solo eres un niño.
Do you know a good dentist?	¿Conoces a un buen dentista?
Evening was drawing near.	La tarde se estaba acercando.
We're engaged.	Estamos comprometidos.
Stop dreaming.	Dejá de soñar.
The sun shone brightly.	El sol brillaba.
Write down your name here.	Anote aquí su nombre.
Tom has special abilities.	Tom tiene habilidades especiales.
We took pictures of the dolphins.	Hicimos fotos a los delfines.
Tom would've made the same decision I'm making if he were in my shoes.	Tom hubiera tomado la misma decisión que yo en mi lugar.
Just do what I did when I met Mary. Tell her she's beautiful.	Simplemente haz lo que yo cuando conocí a Mary. Dile que es preciosa.
I can't wait because I'm in a hurry.	No puedo esperar porque estoy con prisa.
I have a gift for you.	Tengo un regalo para ti.
We live in the center of the city.	Vivimos en el centro de la ciudad.
I suggest we take the stairs.	Sugiero que usemos las escaleras.
It's time for you to go to bed.	Es hora de que te vayas a la cama.
That isn't what happened.	Eso no fue lo que pasó.
I don't understand how he can speak with a cigarette in his mouth.	No sé cómo él puede hablar sin sacarse el cigarrillo de la boca.
This is where I live.	Aquí es donde vivo.
Tom couldn't find what he wanted at the supermarket.	Tom no pudo encontrar lo que quería en el supermercado.
Could you please reschedule the meeting at a time that is convenient for you?	¿Podrías proponer una nueva fecha que te viniera bien para celebrar la reunión?
I remembered everybody.	Me acordé de todo el mundo.
She was well-dressed.	Ella iba bien vestida.
Have you finished reading the novel?	¿Terminaste de leer la novela?
Books are for people who wish they were somewhere else.	Los libros son para la gente que desearía estar en otro lugar.
Tom would have liked to attend Mary's party. Unfortunately, he had other things he had to do.	A Tom le hubiera gustado asistir a la fiesta de María. Desafortunadamente, tenía otras cosas que hacer.
No one will stop me.	Nadie me detendrá.
I accept this proposal.	Acepto esta propuesta.
I'm not the only one who feels that way.	No soy el único que se siente de esa forma.
He removed his shirt.	Él se quitó la camisa.
